objectid,abrevia,cod_linea,nom_ruta,orig_ruta,dest_ruta,fec_impl,loc_orig,loc_dest,long_ruta,oper_ruta,route_id,cod_ruta,zon_dest,zon_orig,hor_habil,hor_sab,hor_fest,est_ruta,tip_bus,tip_serv,dias_oper,tip_hor,tipo_oper,ruta_rural,globalid,shape_Length
2827,SCR,614,Bolonia Usme - Montevideo,Montevideo,Bolonia Usme,31/08/2013,5,9,27.40270511,GMOVIL ENGATIVA E,8412,614-2,12,6,3:30 a. m. - 11:00 p. m.,3:30 a. m. - 11:00 p. m.,4:30 a. m. - 10:00 p. m.,1,4,1,3,1,2,3,{00FAEF23-9B6D-4C87-8AFC-8C8DE1A44018},27402.7051135704
2831,NOR,T11,Alpes - Calle 222,Alpes,Calle 222,22/11/2014,11,19,44.6967368,SUMA CIUDAD BOLIVAR BC,4992,T11-1,2,11,3:56 a. m. - 10:55 p. m.,4:00 a. m. - 11:00 p. m.,5:00 a. m. - 8:05 p. m.,1,3,1,3,1,2,3,{03A71515-2CFA-43C2-9E55-A80DAB64B426},44696.7368008384
2834,BBB,BH907,Terminal Norte - Usme Centro,Usme Centro,Terminal Norte,12/04/2021,11,5,42.9088917,CONSORCIO EXPRESS USAQUEN N,7189,B907-2,2,12,3:00 a. m. - 9:00 p. m.,3:00 a. m. - 9:00 p. m.,4:30 a. m. - 8:00 p. m.,1,3,1,3,1,2,3,{04DA7ABB-9B01-4406-A310-7D90DCE4E09B},42908.8917014591
2835,ALI,1-8,Calle 80,Portal 80,Calle 80,26/03/2015,10,10,5.99250205,ESTE ES MI BUS CALLE 80 CO01,11029,1-8a,4,4,4:30 a. m. - 12:30 a. m.,4:30 a. m. - 12:30 a. m.,5:30 a. m. - 11:30 p. m.,1,3,2,3,1,2,3,{05F5BA89-93A7-41C1-8889-95987349ABB4},5992.50205274875
2839,ALI,8-6,Timiza,Banderas,Timiza,17/02/2014,8,8,9.92350087,MASIVO CAPITAL KE,10991,8-6a,8,8,4:00 a. m. - 12:30 a. m.,4:00 a. m. - 12:30 a. m.,4:00 a. m. - 11:20 p. m.,1,3,2,3,1,2,3,{063AC933-0317-49BB-A03D-4F296208F28E},9923.50086928094
2840,CEN,579,El Recreo - Marly,El Recreo,Marly,11/05/2013,7,7,48.468669,MASIVO CAPITAL KE,8307,579-3,8,8,4:00 a. m. - 9:45 p. m.,4:00 a. m. - 10:00 p. m.,5:00 a. m. - 9:00 p. m.,1,3,1,3,1,2,3,{06C63E8C-4AD9-488C-AFEF-9369C7B812F3},48468.6690035265
2844,KKK,KA305,El Recodo – Est. Calle 100,Est. Calle 100,El Recodo,9/01/2021,9,12,20.29372186,E-SOMOS FONTIBON II,10175,K305-2,7,0,4:00 a. m. - 10:00 p. m.,4:00 a. m. - 10:00 p. m.,5:00 a. m. - 9:30 p. m.,1,3,1,3,1,2,3,{08071004-85A8-41B4-8B93-D70F377F30E2},20293.7218636375
2846,ALI,11-8,La Gaitana,Portal Suba,La Gaitana,6/03/2021,11,11,7.33017871,ESTE ES MI BUS CALLE 80 CO01,7054,11-8a,3,3,8:30 a. m. - 5:00 p. m. _ 10:30 p. m. - 00:30 a. m.,8:00 a. m. - 12:30 a. m.,4:30 a. m. - 11:30 p. m.,1,3,2,3,2,2,3,{09731B3D-4823-460B-98CA-04222BC06384},7330.17870898063
2847,ALI,10-2,Bosa Centro,Portal Sur,Bosa Centro,26/03/2015,7,7,5.25120786,ETIB BO,10899,10-2a,9,9,4:00 a. m. - 12:30 a. m.,4:00 a. m. - 12:30 a. m.,4:00 a. m. - 11:30 p. m.,1,3,2,3,1,2,3,{097CEC09-F312-4D83-A127-F453FF643B18},5251.20786330375
2848,USM,661,Terminal Norte - Península,Terminal Norte,Península,22/06/2013,11,4,41.48147813,CONSORCIO EXPRESS USAQUEN N,6294,661-1,13,2,3:00 a. m. - 10:00 p. m.,3:00 a. m. - 10:00 p. m.,4:00 a. m. - 9:00 p. m.,1,4,1,3,1,2,3,{0A573CA4-D1D3-4FF7-8F31-FE6A86FE201D},41481.478131367
2849,HHH,HA605,Arborizadora Alta - Polo,Polo,Arborizadora Alta,18/10/2022,19,12,26.08221999,SUMA CIUDAD BOLIVAR BC,8569,H605-2,11,0,4:00 a. m. - 10:00 p. m.,4:00 a. m. - 10:00 p. m.,5:00 a. m. - 9:00 p. m.,1,3,1,3,1,2,3,{0A5D9FA2-70E3-4E5E-8EC7-D962043FA50A},26082.2199850469
2850,USM,SE14,Diana Turbay Cultivos - Engativá Centro,Engativá Centro,Diana Turbay Cultivos,2/03/2014,18,10,36.56382225,GMOVIL ENGATIVA E,12251,SE14-2,12,5,4:00 a. m. - 11:00 p. m.,4:00 a. m. - 10:00 p. m.,5:00 a. m. - 10:00 p. m.,Operativa,3,1,3,1,2,3,{0A6239F7-5F70-4098-9C92-DD75B2198AF8},36563.833184949
2851,HHH,HK721,El Tuno - Terminal Salitre,Terminal Salitre,El Tuno,20/08/2022,5,9,23.03606219,MUEVE USME UB,11837,H721-2,12,6,4:50 a. m. - 10:50 p. m.,4:50 a. m. - 10:50 p. m.,5:50 a. m. - 9:50 p. m.,1,4,1,3,1,2,3,{0A92FF1E-3FD3-4F4D-8724-502A58D515F9},23036.062190916
2853,ESP,18-7,Soratama,Soratama,Soratama,20/03/2014,1,1,7.43320569,CONSORCIO EXPRESS USAQUEN N,8132,18-7e,1,1,4:00 a. m. - 9:00 p. m.,4:00 a. m. - 9:00 p. m.,5:00 a. m. - 9:00 p. m.,1,5,4,3,1,2,3,{0B3CF584-44C9-4C11-B3E0-E9C238D5918C},7433.20568794681
2856,COM,17-3,Modelia,Av. Rojas,Modelia,26/12/2020,9,9,11.58853646,GRAN AMÉRICAS FONTIBON I,10010,17-3c,6,6,4:30 a. m. - 12:30 a. m.,4:30 a. m. - 12:30 a. m.,4:30 a. m. - 11:20 p. m.,1,3,2,3,1,2,3,{0B647C72-54AC-414C-B555-956218B31378},11588.5364637525
2857,CCC,CC110,Chorrillos,Portal De Suba,Chorrillos,28/06/2021,11,11,14.40458047,ESTE ES MI BUS CALLE 80 CO01,6243,C110-3,3,3,4:00 a. m. - 9:00 p. m.,4:00 a. m. - 9:00 p. m.,5:00 a. m. - 9:00 p. m.,1,5,4,3,1,2,3,{0B9539F6-D91A-4463-A949-AEC31AB05D2A},14404.5804654255
2858,FFF,FC404,Patio Bonito - Calle 170,Calle 170,Patio Bonito,9/11/2020,8,11,32.79532806,MASIVO CAPITAL KE,12403,F404-2,8,3,4:00 a. m. - 11:00 p. m.,4:00 a. m. - 9:30 p. m.,5:00 a. m. - 9:00 p. m.,1,3,1,3,1,2,3,{0C8EFA91-FAF5-41C8-99B1-C09598D9C1D9},32795.3280564043
