station_id,station_name,lineas_id,primera_aparicion,ultima_aparicion,nombres_historicos
02000,Portal Norte,00033,2019-01-01,2025-12-01,Cabecera Autopista Norte | Portal Norte
02001,Centro Comercial Santa Fe,00033,2019-01-01,2025-12-01,Centro Comercial Santa Fe
02101,Toberin,00033,2019-01-01,2025-12-01,Toberin | Toberín
02102,Calle 161,00033,2019-01-01,2025-12-01,Calle 161
02103,Mazurén,00033,2019-01-01,2025-12-01,Mazurén
02104,Calle 146,00033,2019-01-01,2025-12-01,Calle 146
02105,Calle 142,00033,2019-01-01,2025-12-01,Calle 142
02200,Alcalá,00033,2019-01-01,2025-12-01,Alcalá
02201,Prado,00033,2019-01-01,2025-12-01,Prado
02202,Calle 127,00033,2019-01-01,2025-12-01,Calle 127
02204,Pepe Sierra,00033,2019-01-01,2025-12-01,Pepe Sierra
02205,Calle 106,00033,2019-01-01,2025-12-01,Calle 106
02300,Calle 100,00033,2019-01-01,2025-12-01,Calle 100
02302,Virrey,00033,2019-01-01,2025-12-01,Virrey
02303,Calle 85,00033,2019-01-01,2025-12-01,Calle 85
02304,Heroes,00033,2019-01-01,2025-12-01,Heroes
02502,Terminal,00033,2019-01-01,2025-12-01,Terminal
03000,Portal Suba,00032,2019-01-01,2025-12-01,Portal Suba
03001,LA CAMPIÑA,00032,2019-01-01,2025-12-01,LA CAMPIÑA
03002,SUBA,00032,2019-01-01,2025-12-01,SUBA
03003,21 ANGELES,00032,2019-01-01,2025-12-01,21 ANGELES
03004,GRATAMIRA,00032,2019-01-01,2025-12-01,GRATAMIRA
03005,SUBA,00032,2019-01-01,2025-12-01,SUBA
03006,NIZA,00032,2019-01-01,2025-12-01,NIZA
03007,HUMEDAL CORDOBA,00032,2019-01-01,2025-12-01,HUMEDAL CORDOBA
03009,Av. Suba,00032,2019-01-01,2025-12-01,Av. Suba
03010,PUENTE LARGO,00032,2019-01-01,2025-12-01,PUENTE LARGO
03011,SUBA,00032,2019-01-01,2025-12-01,SUBA
03012,SUBA,00032,2019-01-01,2025-12-01,SUBA
03013,RIO NEGRO,00032,2019-01-01,2025-12-01,RIO NEGRO
03014,SAN MARTIN,00032,2019-01-01,2025-12-01,SAN MARTIN
04000,Cabecera Calle 80,00035,2019-01-01,2025-12-01,Cabecera Calle 80
04001,Quirigua,00035,2019-01-01,2025-12-01,Quirigua
04002,Carrera 90,00035,2019-01-01,2025-12-01,Carrera 90
04003,Avenida Ciudad de Cali,00035,2019-01-01,2025-12-01,Avenida Ciudad de Cali
04004,La Granja,00035,2019-01-01,2025-12-01,La Granja
04100,Carrera 77,00035,2019-01-01,2025-12-01,Carrera 77
04101,Minuto de Dios,00035,2019-01-01,2025-12-01,Minuto de Dios
04102,Avenida Boyaca,00035,2019-01-01,2025-12-01,Avenida Boyaca
04103,Las Ferias,00035,2019-01-01,2025-12-01,Las Ferias
04104,Avenida 68,00035,2019-01-01,2025-12-01,Avenida 68
04105,Carrera 53,00035,2019-01-01,2025-12-01,Carrera 53
04106,Carrera 47,00035,2019-01-01,2025-12-01,Carrera 47
04107,Escuela Militar,00035,2019-01-01,2025-12-01,Escuela Militar
04108,Polo,00035,2019-01-01,2025-12-01,El Polo | Polo
05000,Portal Américas,00031,2019-01-01,2025-12-01,Portal Américas
05001,Patio Bonito,00031,2019-01-01,2024-01-01,Patio Bonito
05002,Tintal,00031,2019-01-01,2025-12-01,Tintal
05005,Transversal 86,00031,2019-01-01,2025-12-01,Transversal 86
05100,Banderas P. Central,00031,2019-01-01,2025-12-01,Banderas P. Central
05101,Mandalay,00031,2019-01-01,2025-12-01,Mandalay
05102,Av. Américas,00031,2019-01-01,2025-12-01,Av. Américas
05103,Marsella,00031,2019-01-01,2025-12-01,Marsella
05105,Pradera,00031,2019-01-01,2025-12-01,Pradera
05107,Américas,00031,2019-01-01,2025-12-01,Américas
06000,Portal El Dorado,00011,2019-01-01,2025-12-01,Portal El Dorado | Portal Eldorado
06001,Modelia,00011,2019-01-01,2025-12-01,Modelia
06002,Normandía,00011,2019-01-01,2025-12-01,Normandía
06100,Av. Rojas,00011,2019-01-01,2025-12-01,Av. Rojas
06101,El Tiempo,00011,2019-01-01,2025-12-01,El Tiempo
06102,Salitre El Greco,00011,2019-01-01,2025-12-01,Salitre El Greco
06103,CAN,00011,2019-01-01,2025-12-01,CAN
06104,Gobernación,00011,2019-01-01,2025-12-01,Gobernación
06105,Quinta Paredes,00011,2019-01-01,2025-12-01,Quinta Paredes
06106,Recinto Ferial,00011,2019-01-01,2025-12-01,Corferias | Recinto Ferial
06107,Ciudad Universitaria,00011,2019-01-01,2025-12-01,Ciudad Universitaria
06108,Concejo de Bogotá,00011,2019-01-01,2025-12-01,Concejo de Bogotá
06109,Centro Memoria,00011,2019-01-01,2025-12-01,Centro Memoria
06111,Universidades,00011,2019-01-01,2025-12-01,Universidades
07000,Portal Sur JFK Coop. Financiera,00030,2019-01-01,2025-12-01,Portal Sur | Portal Sur JFK Coop. Financiera
07001,PERDOMO,00030,2019-01-01,2025-12-01,PERDOMO
07002,MADELENA,00030,2019-01-01,2025-12-01,MADELENA
07003,SEVILLANA,00030,2019-01-01,2025-12-01,SEVILLANA
07004,VENECIA,00030,2019-01-01,2025-12-01,VENECIA
07005,ALQUERIA,00030,2019-01-01,2025-12-01,ALQUERIA
07006,General Santander,00030,2019-01-01,2025-12-01,General Santander
07007,NQS,00030,2019-01-01,2025-12-01,NQS
07008,NQS,00030,2019-01-01,2025-12-01,NQS
07009,SENA,00030,2019-01-01,2023-01-01,SENA
07010,Bosa,00030,2019-01-01,2025-12-01,Bosa
07101,CASTELLANA,00038,2019-01-01,2025-12-01,CASTELLANA
07102,Calle 75,00038,2019-01-01,2025-12-01,Calle 75 | NQS
07103,AV. CHILE,00038,2019-01-01,2025-12-01,AV. CHILE
07104,7 de Agosto,00038,2019-01-01,2025-12-01,7 de Agosto | Simon Bolivar
