datetime,real,prediccion,error_absoluto
2025-01-01 00:00:00,0,4,4
2025-01-01 00:15:00,0,0,0
2025-01-01 00:30:00,0,0,0
2025-01-01 00:45:00,0,1,1
2025-01-01 01:00:00,0,2,2
2025-01-01 01:15:00,0,0,0
2025-01-01 01:30:00,0,0,0
2025-01-01 01:45:00,0,0,0
2025-01-01 02:00:00,0,2,2
2025-01-01 02:15:00,0,0,0
2025-01-01 02:30:00,0,0,0
2025-01-01 02:45:00,0,0,0
2025-01-01 03:00:00,0,2,2
2025-01-01 03:15:00,0,0,0
2025-01-01 03:30:00,14,0,14
2025-01-01 03:45:00,193,228,35
2025-01-01 04:00:00,433,565,132
2025-01-01 04:15:00,816,1516,700
2025-01-01 04:30:00,1229,1562,333
2025-01-01 04:45:00,1658,1722,64
2025-01-01 05:00:00,2057,2070,13
2025-01-01 05:15:00,2150,2496,346
2025-01-01 05:30:00,2467,2510,43
2025-01-01 05:45:00,2565,2904,339
2025-01-01 06:00:00,3224,3040,184
2025-01-01 06:15:00,3653,3911,258
2025-01-01 06:30:00,3419,4277,858
2025-01-01 06:45:00,2878,4037,1159
2025-01-01 07:00:00,3182,3114,68
2025-01-01 07:15:00,3084,3562,478
2025-01-01 07:30:00,3071,3114,43
2025-01-01 07:45:00,2761,3150,389
2025-01-01 08:00:00,2488,2949,461
2025-01-01 08:15:00,2581,2859,278
2025-01-01 08:30:00,2555,2743,188
2025-01-01 08:45:00,2579,2792,213
2025-01-01 09:00:00,2621,2616,5
2025-01-01 09:15:00,2590,2875,285
2025-01-01 09:30:00,3059,2733,326
2025-01-01 09:45:00,2822,2993,171
2025-01-01 10:00:00,3048,2814,234
2025-01-01 10:15:00,3344,3310,34
2025-01-01 10:30:00,3586,3594,8
2025-01-01 10:45:00,3569,3875,306
2025-01-01 11:00:00,4058,3963,95
2025-01-01 11:15:00,3882,4756,874
2025-01-01 11:30:00,4302,4510,208
2025-01-01 11:45:00,4544,4867,323
2025-01-01 12:00:00,4742,4870,128
2025-01-01 12:15:00,4881,5178,297
2025-01-01 12:30:00,4861,4970,109
2025-01-01 12:45:00,4602,4857,255
2025-01-01 13:00:00,4930,4620,310
2025-01-01 13:15:00,5188,5125,63
2025-01-01 13:30:00,4923,5101,178
2025-01-01 13:45:00,4794,4964,170
2025-01-01 14:00:00,4751,5184,433
2025-01-01 14:15:00,4895,5254,359
2025-01-01 14:30:00,4913,5009,96
2025-01-01 14:45:00,4814,5062,248
2025-01-01 15:00:00,4939,5087,148
2025-01-01 15:15:00,5137,5527,390
2025-01-01 15:30:00,5142,5270,128
2025-01-01 15:45:00,5549,5412,137
2025-01-01 16:00:00,5818,6328,510
2025-01-01 16:15:00,6145,6599,454
2025-01-01 16:30:00,6446,6446,0
2025-01-01 16:45:00,6413,6512,99
2025-01-01 17:00:00,6902,7153,251
2025-01-01 17:15:00,7096,7178,82
2025-01-01 17:30:00,6937,6991,54
2025-01-01 17:45:00,7199,6803,396
2025-01-01 18:00:00,7156,7397,241
2025-01-01 18:15:00,7245,7426,181
2025-01-01 18:30:00,6212,6805,593
2025-01-01 18:45:00,5431,5986,555
